id,collection_id,material_id,denomination_id,condition,year_created,length,width,description,link,numeric_value,extra_year,units
9ef8c304-db2f-438a-9622-5b12d0206909,d7717171-7fbd-45ad-887b-15874b0a0287,5dcaf339-a641-43d0-9eca-86051a601f5c,08c0f8ac-ee32-459a-bed3-39f05ee86b32,VERY_GOOD,1945,90,65,rupta in partea stanga sus (fata),https://en.numista.com/catalogue/note201757.html,100,,1
5cfb54a2-cf50-4fdf-a2ef-e3695887008b,d7717171-7fbd-45ad-887b-15874b0a0287,5dcaf339-a641-43d0-9eca-86051a601f5c,08c0f8ac-ee32-459a-bed3-39f05ee86b32,VERY_GOOD,1945,166,91,,https://en.numista.com/catalogue/note206915.html,5000,,1
91cea362-b441-44a8-ac86-214f7cee11e3,d7717171-7fbd-45ad-887b-15874b0a0287,5dcaf339-a641-43d0-9eca-86051a601f5c,08c0f8ac-ee32-459a-bed3-39f05ee86b32,VERY_GOOD,1946,194,107,,https://en.numista.com/catalogue/note205757.html,10000,,1
df0cb832-5d37-4771-b186-8d905eab6dc1,d7717171-7fbd-45ad-887b-15874b0a0287,5dcaf339-a641-43d0-9eca-86051a601f5c,08c0f8ac-ee32-459a-bed3-39f05ee86b32,VERY_GOOD,1943,201,113,,https://en.numista.com/catalogue/note205764.html,2000,,1
5b7ad436-03e4-4309-a82e-5e77baceba64,d7717171-7fbd-45ad-887b-15874b0a0287,5dcaf339-a641-43d0-9eca-86051a601f5c,44cde2c2-d3c2-470b-ada3-864ac55f5584,VERY_GOOD,1991,141,68,,https://en.numista.com/catalogue/note213751.html,20000,,1
bfd2fef8-2d97-4e77-a8c8-f5f17cc10b71,d7717171-7fbd-45ad-887b-15874b0a0287,5dcaf339-a641-43d0-9eca-86051a601f5c,5538d3c1-dcd3-4e9d-a76c-b32ce5851de8,VERY_GOOD,1984,137,69,rupta stanga jos (fata),https://en.numista.com/catalogue/note203235.html,100,,1
993add5f-c87c-4a20-a63e-d3919d50843a,d7717171-7fbd-45ad-887b-15874b0a0287,5dcaf339-a641-43d0-9eca-86051a601f5c,13bc64de-13c6-4dc5-8387-7e12001b476c,VERY_GOOD,2009,130,64,,https://en.numista.com/catalogue/note206382.html,5,,1
e019e903-cf70-4af2-8f1c-cddf3c1930d7,d7717171-7fbd-45ad-887b-15874b0a0287,5dcaf339-a641-43d0-9eca-86051a601f5c,433274c2-725d-4629-9f35-2de2951b2592,VERY_GOOD,2013,131,62,,https://en.numista.com/catalogue/note204324.html,10,,1
d69da225-b41d-4de3-a92d-59a71c679ab5,d7717171-7fbd-45ad-887b-15874b0a0287,5dcaf339-a641-43d0-9eca-86051a601f5c,1c18794c-cc76-4009-8bb8-6dd8f8a06088,VERY_GOOD,1972,125,70,muscata drepta sus (fata) si murdara,https://en.numista.com/catalogue/note212486.html,10,,1
bbb38116-3020-42d5-952b-092e0922ecda,d7717171-7fbd-45ad-887b-15874b0a0287,5dcaf339-a641-43d0-9eca-86051a601f5c,d0993a85-c627-4ffa-ba68-28dba2e5d992,VERY_GOOD,2009,142,75,cerneala sntaga jos (fata),https://en.numista.com/catalogue/note202753.html,10,,1
a9790e8e-1764-4cf7-99e5-d8c8c869a14a,d7717171-7fbd-45ad-887b-15874b0a0287,5dcaf339-a641-43d0-9eca-86051a601f5c,13bc64de-13c6-4dc5-8387-7e12001b476c,VERY_GOOD,1985,126,70,pasta de pix pe fata si pe spate,https://en.numista.com/catalogue/note202451.html,5000,,1
050138d3-6adf-40f9-90e8-911181d34219,d7717171-7fbd-45ad-887b-15874b0a0287,5dcaf339-a641-43d0-9eca-86051a601f5c,d92d3021-8806-4925-bfc9-55c9d934df0f,VERY_GOOD,1994,120,60,,https://en.numista.com/catalogue/note202134.html,10,,1
bd7da86b-5bcb-4e7d-a719-b5ebfe3b4d3a,d7717171-7fbd-45ad-887b-15874b0a0287,5dcaf339-a641-43d0-9eca-86051a601f5c,1c18794c-cc76-4009-8bb8-6dd8f8a06088,VERY_GOOD,1997,140,69,,https://en.numista.com/catalogue/note202675.html,100,,1
e1da57cb-7854-441c-8cd7-9f501cb6161d,d7717171-7fbd-45ad-887b-15874b0a0287,5dcaf339-a641-43d0-9eca-86051a601f5c,23c12685-bb63-43d2-8c19-8c555cd8f2ac,VERY_GOOD,2005,116,64,,https://en.numista.com/catalogue/note201676.html,2,2005,2
8a25e1f8-57f0-43b7-ae0b-95bcef3f6767,d7717171-7fbd-45ad-887b-15874b0a0287,5dcaf339-a641-43d0-9eca-86051a601f5c,b3fbd662-b591-4401-bc61-bb2990eea07d,VERY_GOOD,2003,140,68,elementul de siguranta rupt in partea de jos,https://en.numista.com/catalogue/note208226.html,50,,1
1fc5d848-da55-4494-ac83-57a9507a62ba,d7717171-7fbd-45ad-887b-15874b0a0287,5dcaf339-a641-43d0-9eca-86051a601f5c,f4492856-77ab-4e5b-9d9c-090722e5e7ba,VERY_GOOD,2003,156,67,invechita,https://en.numista.com/catalogue/note204582.html,5,,1
abacfb6f-94b6-4bd1-b1f7-896569d9e2d1,d7717171-7fbd-45ad-887b-15874b0a0287,5dcaf339-a641-43d0-9eca-86051a601f5c,9234cca1-c059-4873-8969-e9dcd7d301a9,VERY_GOOD,1989,145,70,,https://en.numista.com/catalogue/note214912.html,10000,,1
