id,collection_id,domain_id,language_id,title,author,isbn,pages,description,link,published_year,printed_year,condition
f399ab01-61e1-4f8c-8112-85576c4ef89d,4f1cf63c-2634-4414-b570-d80b4507ec61,64fa2c8b-f2c9-4e9c-b158-9f28f9d552f3,d59d8ec4-9dcd-4fe4-bd71-28e88be34f08,Existentialism & Humanism,Jean-Paul Sartre,978-0-413-77639-6,95,,,1945,2007,VERY_GOOD
46838004-5459-4c9c-88cb-70d941f94d79,4f1cf63c-2634-4414-b570-d80b4507ec61,23bdab46-286a-4c26-bee0-4e2aaf614fc6,2365214c-c174-4403-9a5c-00501dc4f465,Vindecarea traumelor provocate de părinții imaturi emoțional,Lindsay C. Gibson,978-973-111-976-2,271,,,,2023,VERY_GOOD
6fe75c4f-81c7-44aa-8d64-d108b3acf15c,4f1cf63c-2634-4414-b570-d80b4507ec61,0a206c4f-563c-4694-bd95-62a8dc95fad7,2365214c-c174-4403-9a5c-00501dc4f465,Dopamina,"Daniel Z. Lieberman, Michael E. Long",978-606-722-350-7,331,,,2018,2019,VERY_GOOD
b75cba19-dc32-4e01-acd1-243ebcd9fcce,4f1cf63c-2634-4414-b570-d80b4507ec61,23bdab46-286a-4c26-bee0-4e2aaf614fc6,2365214c-c174-4403-9a5c-00501dc4f465,Atomic Habits,James Clear,978-606-789-174-4,271,,,,2019,VERY_GOOD
b4d2754a-f131-48fc-8b71-75e4556d4c2f,4f1cf63c-2634-4414-b570-d80b4507ec61,23bdab46-286a-4c26-bee0-4e2aaf614fc6,d59d8ec4-9dcd-4fe4-bd71-28e88be34f08,Sapiens (A Brief History of Humankind),Yuval Noah Harari,978-0-099-59008-8,498,,,2011,2015,VERY_GOOD
6d4684ed-fe17-4820-b862-6fe3d4d2dda3,4f1cf63c-2634-4414-b570-d80b4507ec61,0a206c4f-563c-4694-bd95-62a8dc95fad7,d59d8ec4-9dcd-4fe4-bd71-28e88be34f08,Habits of a Happy Brain,Loretta Graziano Breuning PHD,978-1-4405-9050-4,238,,,2016,,VERY_GOOD
d0f146a7-f691-4a16-a132-1f5a8a271eb5,4f1cf63c-2634-4414-b570-d80b4507ec61,23bdab46-286a-4c26-bee0-4e2aaf614fc6,d59d8ec4-9dcd-4fe4-bd71-28e88be34f08,Rich Dad Poor Dad,Robert T. Kiyosaki,978-1-61268-113-9,351,,,1997,2022,VERY_GOOD
3edeca62-d10e-47ca-81c2-3fa55f3f4ecb,4f1cf63c-2634-4414-b570-d80b4507ec61,2bf3a22d-702d-4629-842b-3d5c844fcf9a,2365214c-c174-4403-9a5c-00501dc4f465,Jurnalul unui burlac: Conversații cu mama,"Mihai Bendeac, Emilia Bendeac",978-606-9700-13-6,319,,,,2020,VERY_GOOD
2c73830e-b5d4-4a92-b83f-ac192472784c,4f1cf63c-2634-4414-b570-d80b4507ec61,2bf3a22d-702d-4629-842b-3d5c844fcf9a,2365214c-c174-4403-9a5c-00501dc4f465,Jurnalul unui burlac: Dragă Mihai,Mihai Bendeac ,978-630-305-208-3,316,,,,2024,VERY_GOOD
a8a1ce21-9c0c-4388-b7f7-56f878110776,4f1cf63c-2634-4414-b570-d80b4507ec61,23bdab46-286a-4c26-bee0-4e2aaf614fc6,2365214c-c174-4403-9a5c-00501dc4f465,Acționează și gândește ca o pisică,Stéphane Garnier,978-606-38-0503-5,207,,,2017,2020,VERY_GOOD
1ec58880-edce-4202-8727-baad78170474,4f1cf63c-2634-4414-b570-d80b4507ec61,0a206c4f-563c-4694-bd95-62a8dc95fad7,d59d8ec4-9dcd-4fe4-bd71-28e88be34f08,Emotions Revealed,Paul Ekman,978-0-8050-8339-2,290,,,2003,,VERY_GOOD
884456db-b9bd-4053-be99-2f2083aea638,4f1cf63c-2634-4414-b570-d80b4507ec61,2bf3a22d-702d-4629-842b-3d5c844fcf9a,d59d8ec4-9dcd-4fe4-bd71-28e88be34f08,"Friends, Lovers, and the Big Terrible Thing",Matthew Perry,978-1-250-86645-5,250,,,2022,2024,VERY_GOOD
e736d62f-fe89-40d8-953e-9ce4f252cc4d,4f1cf63c-2634-4414-b570-d80b4507ec61,0a206c4f-563c-4694-bd95-62a8dc95fad7,2365214c-c174-4403-9a5c-00501dc4f465,Neuroplasticitatea: Secretul longevității creierului,Leon Dănăilă Acad. Prof. Dr.,978-630-305-171-0,278,,,,2023,VERY_GOOD
3ea4e5b5-8e76-446b-94e5-f570575a0ff7,4f1cf63c-2634-4414-b570-d80b4507ec61,2bf3a22d-702d-4629-842b-3d5c844fcf9a,d59d8ec4-9dcd-4fe4-bd71-28e88be34f08,I am Zlatan Ibrahimović,"Zlatan Ibrahimović, David Lagercrantz",978-0-241-96683-9,332,,,2011,2013,VERY_GOOD
1d73adb8-e7c3-4056-a7c9-af0d0c5428d7,4f1cf63c-2634-4414-b570-d80b4507ec61,0a206c4f-563c-4694-bd95-62a8dc95fad7,d59d8ec4-9dcd-4fe4-bd71-28e88be34f08,Tame your anxiety,Loretta Graziano Breuning,978-1-5381-1776-7,146,,,1992,2019,VERY_GOOD
cb9abddd-c926-46c4-a14e-095a83a6a2a0,4f1cf63c-2634-4414-b570-d80b4507ec61,23bdab46-286a-4c26-bee0-4e2aaf614fc6,2365214c-c174-4403-9a5c-00501dc4f465,Nu mă poți răni,David Goggins,978-606-33-9989-3,333,,,2018,2023,VERY_GOOD
960669fa-aeed-4a99-a86c-3d43854f24a6,4f1cf63c-2634-4414-b570-d80b4507ec61,0a206c4f-563c-4694-bd95-62a8dc95fad7,d59d8ec4-9dcd-4fe4-bd71-28e88be34f08,Dopamine Nation,Anna Lembke MD,978-1-5247-4674-2,304,,,2021,2023,VERY_GOOD
0e0466a5-e6b2-4432-92ce-d1f065867e24,4f1cf63c-2634-4414-b570-d80b4507ec61,0a206c4f-563c-4694-bd95-62a8dc95fad7,d59d8ec4-9dcd-4fe4-bd71-28e88be34f08,The Child in you,Stefanie Stahl,978-0-241-47337-5,336,,,2015,2021,VERY_GOOD
53a93818-5a6e-4435-9bef-ad42556b14e9,4f1cf63c-2634-4414-b570-d80b4507ec61,584eea8e-d793-4505-838d-8fda881ace36,d59d8ec4-9dcd-4fe4-bd71-28e88be34f08,The Pragmatic Programmer,"Andrew Hunt, David Thomas",978-0-13-595705-9,352,,,2000,2020,VERY_GOOD
4be3b9aa-cfed-4463-ad3d-9209b941ef29,4f1cf63c-2634-4414-b570-d80b4507ec61,584eea8e-d793-4505-838d-8fda881ace36,d59d8ec4-9dcd-4fe4-bd71-28e88be34f08,Spring Start Here,Laurentiu Spilca,978-1617298691,756,,,,2021,VERY_GOOD
8183aa45-6a84-4d03-bbb2-8275d56351f1,4f1cf63c-2634-4414-b570-d80b4507ec61,14e93e92-c1fa-4e60-bc91-0c8aa51a0943,d59d8ec4-9dcd-4fe4-bd71-28e88be34f08,Holy Bible (KJVER Trusted King James Edition),God,978-8-88769-154-1,896,,,2001,2023,VERY_GOOD
