id,collection_id,material_id,denomination_id,condition,year_created,diameter,description,link,numeric_value,extra_year,units,weight,thickness
a1415e8d-f8c8-4b2b-9e1a-4710ec0ae473,5d48ccb9-98e2-439d-a47d-e4acb59c9f47,59fff65e-0fb6-43d2-be0f-fb40238a608f,7505b828-a1dd-4b6e-bc48-ac72a34cad24,VERY_GOOD,2018,23.75,Unirea de la Alba Iulia,https://ro.ucoin.net/coin/romania-50-bani-2018/?tid=81036,50,,5,6.0999999999999996,1.8999999999999999
fd989385-386b-492f-935f-de0ccc0be19c,5d48ccb9-98e2-439d-a47d-e4acb59c9f47,577f19a6-0e57-4ffb-a9f7-611b66bb15eb,08c0f8ac-ee32-459a-bed3-39f05ee86b32,VERY_GOOD,1963,27,deteriorata,https://ro.ucoin.net/coin/romania-3-lei-1963/?tid=20171,3,,1,5.8600000000000003,1.5
6de58292-4d73-4426-9bf8-a0c731e3572f,5d48ccb9-98e2-439d-a47d-e4acb59c9f47,577f19a6-0e57-4ffb-a9f7-611b66bb15eb,08c0f8ac-ee32-459a-bed3-39f05ee86b32,VERY_GOOD,1966,27,,https://ro.ucoin.net/coin/romania-3-lei-1966/?tid=20221,3,,3,5.8600000000000003,1.5
f4576f1b-dbd6-4edd-8178-2b8d930b3e3b,5d48ccb9-98e2-439d-a47d-e4acb59c9f47,12bf063f-c7c6-4738-8dd7-a18c7be1f119,08c0f8ac-ee32-459a-bed3-39f05ee86b32,VERY_GOOD,1942,23,deteriorata,https://ro.ucoin.net/coin/romania-5-lei-1942/?tid=38294,5,,1,4.5,1.75
9fc879d1-53a6-42e9-95e2-f0a63558a657,5d48ccb9-98e2-439d-a47d-e4acb59c9f47,c6153260-2c16-4767-a5d8-d48ace1f3bbd,08c0f8ac-ee32-459a-bed3-39f05ee86b32,VERY_GOOD,1942,24,stearsa,https://ro.ucoin.net/coin/romania-200-lei-1942/?tid=38309,200,,1,6,2
bf86e898-c278-408d-b195-7ee7cc3f6659,5d48ccb9-98e2-439d-a47d-e4acb59c9f47,12bf063f-c7c6-4738-8dd7-a18c7be1f119,08c0f8ac-ee32-459a-bed3-39f05ee86b32,VERY_GOOD,1941,20,stearsa,https://ro.ucoin.net/coin/romania-2-lei-1941/?tid=38255,2,,1,3.2000000000000002,1.55
4f4f837e-28f3-4b56-af4b-0031cdd95d26,5d48ccb9-98e2-439d-a47d-e4acb59c9f47,577f19a6-0e57-4ffb-a9f7-611b66bb15eb,7505b828-a1dd-4b6e-bc48-ac72a34cad24,VERY_GOOD,1966,16,,https://ro.ucoin.net/coin/romania-5-bani-1966/?tid=20214,5,,4,1.7,1.3
55731c47-bf57-4206-b0c5-1beb098f5de9,5d48ccb9-98e2-439d-a47d-e4acb59c9f47,8734e197-5655-422b-968e-f02b792c9d32,7505b828-a1dd-4b6e-bc48-ac72a34cad24,VERY_GOOD,1975,16,,https://ro.ucoin.net/coin/romania-5-bani-1975/?tid=20215,5,,4,0.59999999999999998,1.3
819864cc-c90a-4f9e-a8af-3753724c68f7,5d48ccb9-98e2-439d-a47d-e4acb59c9f47,1c378483-96de-4276-b2cd-6dcefee47897,7505b828-a1dd-4b6e-bc48-ac72a34cad24,VERY_GOOD,1906,22,murdara,https://ro.ucoin.net/coin/romania-10-bani-1905-1906/?tid=38191,10,,2,4,1.3999999999999999
702a853a-9352-434b-b6ba-10d28017511c,5d48ccb9-98e2-439d-a47d-e4acb59c9f47,1c378483-96de-4276-b2cd-6dcefee47897,7505b828-a1dd-4b6e-bc48-ac72a34cad24,VERY_GOOD,1906,19,deteriorata,https://ro.ucoin.net/coin/romania-5-bani-1905-1906/?tid=38189,5,,1,2.3199999999999998,1.1000000000000001
9df49bcb-e860-41fa-b943-2db616e27012,5d48ccb9-98e2-439d-a47d-e4acb59c9f47,8fa498a9-20d7-4ca2-afe0-0c975dd85cce,08c0f8ac-ee32-459a-bed3-39f05ee86b32,VERY_GOOD,1946,24,una e deteriorata,https://ro.ucoin.net/coin/romania-2000-lei-1946/?tid=38340,2000,,2,5.0999999999999996,1.55
900262fe-d83d-46cf-a7bc-6fa0cef2097f,5d48ccb9-98e2-439d-a47d-e4acb59c9f47,aa38d7db-f4ab-427e-9062-56f0db822ebf,7505b828-a1dd-4b6e-bc48-ac72a34cad24,VERY_GOOD,1953,20,,https://ro.ucoin.net/coin/romania-5-bani-1953-1957/?tid=20158,5,1957,2,2.3999999999999999,1.1000000000000001
73fe617e-8708-4f95-bede-b7c6fef79f3a,5d48ccb9-98e2-439d-a47d-e4acb59c9f47,8734e197-5655-422b-968e-f02b792c9d32,08c0f8ac-ee32-459a-bed3-39f05ee86b32,VERY_GOOD,1999,25,Model special eclipsa,https://ro.ucoin.net/coin/romania-500-lei-1999/?tid=19259,500,,1,3.6000000000000001,3.2000000000000002
4c5b9038-f83c-47cc-baa1-0d1b7b1bbc5e,5d48ccb9-98e2-439d-a47d-e4acb59c9f47,8734e197-5655-422b-968e-f02b792c9d32,08c0f8ac-ee32-459a-bed3-39f05ee86b32,VERY_GOOD,1999,25,,https://ro.ucoin.net/coin/romania-500-lei-1999-2006/?tid=18793,500,(1999-2000),8,3.7000000000000002,3.2000000000000002
adda111d-f7a0-439f-9efb-d8b78b822f76,5d48ccb9-98e2-439d-a47d-e4acb59c9f47,577f19a6-0e57-4ffb-a9f7-611b66bb15eb,08c0f8ac-ee32-459a-bed3-39f05ee86b32,VERY_GOOD,1943,28,,https://ro.ucoin.net/coin/romania-100-lei-1943-1944/?tid=38307,100,,1,8.5,2.2000000000000002
f6f0cf6f-5894-4c88-861c-c343a27997d5,5d48ccb9-98e2-439d-a47d-e4acb59c9f47,1c378483-96de-4276-b2cd-6dcefee47897,08c0f8ac-ee32-459a-bed3-39f05ee86b32,VERY_GOOD,1924,25,murdara,https://ro.ucoin.net/coin/romania-2-lei-1924/?tid=38254,2,,1,7,1.8
3860126b-70c7-4c5f-a980-1910530f33ad,5d48ccb9-98e2-439d-a47d-e4acb59c9f47,8734e197-5655-422b-968e-f02b792c9d32,08c0f8ac-ee32-459a-bed3-39f05ee86b32,VERY_GOOD,1978,29,una murdara,https://ro.ucoin.net/coin/romania-5-lei-1978/?tid=20222,5,,8,2.7999999999999998,1.8
f4d66011-b795-43c7-848d-0baaae5ffd4d,5d48ccb9-98e2-439d-a47d-e4acb59c9f47,577f19a6-0e57-4ffb-a9f7-611b66bb15eb,08c0f8ac-ee32-459a-bed3-39f05ee86b32,VERY_GOOD,1993,29.100000000000001,una e neagra,https://ro.ucoin.net/coin/romania-100-lei-1991-2006/?tid=18780,100,(1992-1996),13,8.8000000000000007,2
ce805bff-c2af-4745-8849-72e70b5ad90f,5d48ccb9-98e2-439d-a47d-e4acb59c9f47,12bf063f-c7c6-4738-8dd7-a18c7be1f119,08c0f8ac-ee32-459a-bed3-39f05ee86b32,VERY_GOOD,1942,26.300000000000001,deteriorata,https://ro.ucoin.net/coin/romania-20-lei-1942-1944/?tid=38298,20,,1,6,1.8300000000000001
